Pno,Qual,InnocentUntilProvenGuilty
36,"I don't think X will be found guilty due to him/her not being detained before the trial. I think this is because X is not considered dangerous and likely to steal therefore he will not be detained, there is a slight possibility of conviction but quite unlikely in my opinion.",No
37,Even if there is enough evidance to proof he is guilty. Judge will not decide his term.,No
38,"I can really only base this on the Judge's decision to not detain X before the trial takes place. Without knowing any details about the case, I would have to say the probability of X being convicted is 50/50. But I believe that if there was any risk of him going on the run, reoffending or committing another crime - which are somewhat likely when someone is guilty - then he would have been detained until the trial. Therefore I think his probability of conviction is slightly reduced.",No
39,- there is not enough reasons to keep the accused detained before trial,No
40,"I would like to say 50%, but then I wouldn't be being entirely honest.

I mean, if he is accused of burglary, I imagine there should be some kind of proof, or at least suspicion, that he did it. So I would wait until the trial before making any assumptions. But, at the same time, the fact that he is not detained until the trial means the judge does not see him able to run away from justice, or at the very least he does not suppose any threat.

If mr. X was a very old man, for example, then I would stick to 50% (and by that I mean that I would wait until the trial before making any assumption. An elderly man would inspire pity on me but that does not mean that he is not capable of a burglary). If it were a young or middle aged man, I would suppose he is a bit more likely to be not guilty.",No
42,"Statistically 50% because I have little information, however the fact X was not detained shows he's not deemed a run risk or dangerous. so slightly less.",No
44,"Since he won't be detained, the judge already believes that the burglary might not be at fault. But there is still a chance so my guess is a little bit less that 50% that the judge might convict him after all.",No
45,"Based on what the judge had decided and characterized about X not to be detained tells me that this person might not have a menacing look or a history of crime. Things that may warrant him being detained until the court date. 

To me, the judge's decision is a sign that perhaps the man did not commit the crime but I am still more in the middle ground about my stance.",No
46,"- X attends the pre-trial hearing by choice
- he will not be detained until then",No
47,Usually when people aren't detained until the trial it's because they are innocent in my opinion,No
48,"I dont agree, because he should be locked down",No
49,"1The judge is still going to trial so there is doubt about x innocence . 
2 the judge is sure x will appear for his trial so X might hope to be proved innocent . 
3 Being proved innocent and being innocent are not the same . 
4 with no other information it is impossible to predict which way the trial will go . ",No
50,"It depends on the jury, on the advocate and on the info they have about his fellony.",No
51,This only says that he is not deemed as dangerous enough to the public and that he won’t skip bail,No
52,There is absolutely no relevant information to go on. Therefore it is impossible to tell either way.,No
53,"Without hearing the evidence, I cannot ascertain about the culpability of X, so he has a 50/50 chance of being guilty.
Even though the judge decided that X will not be detained until the trial, that's doesn't constitute a factor in deciding whether he's guilty or not. ",No
54,Proof. Not likely to offend again having been caught once. And maybe the scare of it all might be enough to stop him doing any thing else ,No
55,"The fact that the judge decided not to detain X until his trial does not change the fact that the trial could only have two possible outcomes, meaning X could be found guilty or not. So his possibility of convinction is 50%.",No
56,"I have no basis for a prediction, so I'm going with a neutral 50%",No
57,"After the pre-trial hearing, the judge decides not to detain X and that shows that X is not flagged as a potential burglar. I believe that the judge is leaning to the side of X version of the story, which means that the accusations that X is a burglar are just accusations and not the actual truth. In any other case, in order to prevent X from doing it again in the following period of time, the judge would force X to be detained up until his trial. If, for example, the judge had the belief that X did the burglary, he would definitely force X to be detained up until his trial so that there wouldn't be any complications such as X doing another burglary or anything worse, or even escaping the country so that he wouldn't be present for his trial. X's lawyer must have done a very good job at defending X.",No
58,I have no information to make me think either way.,No
59,"It's a very early stage of the trial and there aren't any useful information about the crime, that why I said 50%.",No
60,There's no evidence yet. If the judge wants to wait probably the judge doesn't consider the suspect too dangerous.,No
61,"In the case of a burglary, a crime without violence, there is no need to keep the subject under arrest. 
Assuming X will show up to trial and won't run away, him being free while awaiting trial won't influence the final verdict",No
62,if he was guilty without doubt the judge would have detained him. At this stage it is unknown wether he is guilty or not ,No
63,There is no evidence either way.,No
64,I haven't got any evidences against him.,No
65,"What do we know? Are there witnesses? Is there evidence? Is there a Motive, besides stealing for money? Most likely answer is there will be some sort of plea deal.",No
66,"No flight risk
Not a very serious crime
",No
67,until the trial X is still not guilty,No
68,I have no sure given such little information so I could not even guess either way. If he was white Id have guessed 30,No
69,"Since there are no proves yet, X can be or not be accused of burglary. Till now, there are no proves yet",No
70,"Since there is little information available, I assume he has equal chances to be found or to not be found guilty.",No
71,"Can't make a prediction either way. The judge has allowed him to not be detained until his trial, but that is because he thinks he is unlikely to abscond, but that is not based on evidence of whether he did the crime he is accused of.",No
72,"I do not have enough informations: what did he take ? How ? Anyone hurted ? 
I am feeling that X will be found unguilty because he is released but it depends on the seriousness of his acts",No
73,"I would say 50% because X was accused of burglary, so there is still a high probability that he will be found guilty, however, the judge decided not to detain him, and that could mean that the probability that he will be found guilty is lower. They may not have enough evidence to charge him, since they decided not to detain him. ",No
74,50/50 chance - there is no further information at this time to be swayed either way.,No
76,I have no idea. No information.,No
77,"If he isn't detained, he isn't much of a risk to society. ",No
78,"X apparently was not caught in the act, otherwise he would remain in prison until the trial. Therefore, there is a probability of at least 50% chance of him being innocent.",No
79,I assumed X was accused based on police investigation. However I do not know where he committed the crime and I have no idea what kind of evidences were available to police. Moreover as the judge decided that detention prior to the judgement it is not necessary I assume X is not expected to reiterate the crime nor escape. Hence 50% chance seems reasonable. ,No
80,I don't have enough information to make a good prediction. I'm going to assume that there's a 50% chance of guilt. ,No
81,.,No
82,There must have been some evidence to bring him to trial but not enough that he should be kept in jail.,No
83,"If the judge has decided that there wasn't any risk by letting him free up until the trial, I think that maybe the crime isn't that big or maybe the judge doesn't trust the evidences.",No
84,It's hard to determine. No information other than suspicion of burglary has been shared. It hasn't gone to trial yet. The judges decision not to detain him isn't really any indication of the eventual outcome. ,No
85,"Because if he can go out, maybe the judge thinks he is not dangerous and will not commit another burglary. But that doesn't mean the judge thinks he is not guilty. So I think there is a 50% chance.",No
86,"He was probably not detained because the prosecution didn't present enough reasons for him to be detained until trial but will soon find more.

Also he is a burglar and his charges won't be that large so the judge thinks there is no reason for him to escape or to steal again.",No
87,"If the judge decided that he won't be detained up it could be because he really thinks he is innocent. Maybe he brought some proof of his innocence, or in the case that the burglary was on a shop, the judge watched the recordings of the security cameras.
Another possibility could be that X is not a violent person and he just did it because he needed the money for him or his family. In this case, maybe the judge decided to leave him free because he knows he won't cause any problems. Maybe X showed regret and the judge knows that he won't do it again until his trial.",No
88,he will be a innocence,No
89,Per la giustizia italiana sei colpevole fino a prova contraria ,Yes
90,"Just because the judge isn't having person X detained doesn't show innocence. If the person was not a danger to hurting anyone or a high risk of re-offending, the judge likely wouldn't have person X detained. The case isn't dismissed which means that there is enough evidence to move forward with a trial which to me shows a higher likelihood of being found guilty. No higher than 75% however because a lot can happen in the legal system.",No
91,He is still likely to be guilty even though the judge has not decided he should be detained. He is not an immediate threat to the safety of the public hence why he wasn’t detained. ,No
92,A great majority of people that appear before a criminal court are found rightfully guilty.,No
93,"if he did it, then he is guilty",No
94,I think without sufficient evidence probability of conviction is low,No
95,Depends what he has done wrong ,No
96,"Being detained doesn't necessarily mean he did anything wrong. Or perhaps, he committed another crime, and that's why the judge decided to detain him. He may be guilty; he may not.",No
97,There are currently no evidences that X Has actually fine the crime,No
98,Considering that being imprisoned before trial is all about weather the accused poses a flight risk I think it shows some pre conceived notions weather X is guilty or not from the judge(notions that could be right or not) . ,No
99,"its 50/50 becouse we dont evidence he did it or no soo we can say its him make it or no

",No
100,"Given the information I have so far, it seems theres a 50/50 chance the man will be convicted. I have no idea the exact details just that he was detained pre-trial. ",No
101,it could still go either way; just because you're detained doesn't mean you're necessarily guilty,No
102,"There must be sufficient evidence for the judge to think that he will either a) abscond or b) commit further crimes if he is let out on bail, otherwise it seems unlikely that an offence of burglary would result in bring denied bail.",No
103,I think that as it hasn't been decided yet we should wait for the trial and have an actual decision then,No
105,Just because hes being detained doesnt mean hes been found guilty. The judge could be doing this in case man X wants to run away,No
106,"I don't believe that the judge's decision to detain X until the trial is an indication that X is guilty. Rather, I'd assume it's a reflection on the violent or other particular attribute of the crime and since X is a suspect if he did commit the crime it would be dangerous for him to remain free and/or he is considered likely to flee.",No
108,I think there are 50/50 chance of him being convicted because even if he did it he might not be convicted and vice versa. Theres no way of knowing. The judge might only get him detained as precaution and hás nothing to do with him being guilt.,No
109,"The judge might suspect X of being guilty, but it may also be standard protocol or a precaution so that nothing more gets stolen. There's no real way of telling right now.",No
110,"Even though he has to be detained until the trial, it could only be for security reasons. Or to make sure he doesnt try to run away even if he's not guilty",No
111,"Unknown one way or the other whether he is guilty as no evidence heard.  Only information is about the seriousness of the crime, the likelihood of absconding.",No
112,there's only on reason. first we must listen carefully all the process and then decide. 50% is the right value,No
113,"Just because X has been detained does not 'prove' guilt of a crime. If this case is before a jury, the fact that he was detained will not be called into account, they will merely hear the evidence, and make a judgement. That is why I put 50/50",No
114,It depends on the crime. But we have almost nothing to consider so I think it s 50 50,No
115,"Innocent until proven guilty
I have no evidence of his guilt or innocence
Number of reasons he could have been detained, doesn’t confer guilt 
Even if guilty no idea if he has good defence team or if prosecution team is good so can’t speculate on probability of being found guilty ",No
116,Since there is no information or proves against X i have to stay completely neutral about this matter,No
117,Without hearing what the suspect has to say and knowing the evidence the police have I have no reason to think its more probable that X will be convicted. At this moment I have the same amount of evidence to think that he is guilty as to think that he innocent.,No
118,I really have no reason to judge this person. Almost everyone is detained up until trial so I can't judge him to early.,No
119,I really don't know what can happen,No
120,"Because judge decided to detain him, so there is higher chance that he is guilty, maybe he said something that gave judge a reason to keep him or maybe he has no alibi.",No
121,The judge probably has many reasons to think why this man can be dangerous if not detained. ,No
122,"Since the judge choose to detain X until trial, might be because the judge possibly thinks X is guilty and is afraid that X might do it again or run. ",No
123,The judge has decided that X is dangerous enough to be detained until trial - judge must be convinced of his guilt already. However it is still an early stage and i personally know nothing of X or the crime. The judge could also be biased. Thus I think it is only probable that X will be convicted,No
124,"I assume that in a situation where I did not know whether X was held the chances of him getting convicted would be 50/50. However, in this situation, the judge sees a reason to keep him detained before trial as he might form a flight risk or risk to society. I assume that a person who bears those risks has a higher chance of being guilty.",No
125,If the judge decides that he should be detained until his trial it's likely that he commited the burgalry and it is a precaution.,No
126,He was detained,No
127,"There's very little information so far.
I was going to say 50% but then I thought, given that it was decided to detain him until trial, I would hope that one wouldn't do that lightly, and so that made me lean more towards conviction/guilt.

Again, too little information so far, so I'd ask for more info.",No
128,It's very hard to judge with this short scenario. So that is why I am a bit undecided. But i believe that Judge Armstrong had solid reason to detained up X until his trial.,No
129,I think if the judge has decided to detain the accused it is because there is evidence that he is guilty,No
130,"If the judge decided to detain him it might be because they have many proves of him being guilty already, and there is a big probability he will do it again or maybe he has a history of previous offenses and there is  a reason to think he might not show up for the trail or do sth bad in the meantime.",No
131,Being detained means that the judge believes that he could potentially try to escape justice meaning that the evidence against him must be compelling enough that a conviction is likely.,No
132,"If there is enough evidence 
He committed a crime
Him accepting his crime will benefit him",No
133,If the judge thought a  innocent outcome likely he would of been released on bail,No
134,"se não houvesse a probabilidade de ser condenado, talvez o juiz não o tivesse detido",No
135,"If the judge decided to detain him, that means he thought he was likely to flee, or not show up for the trial. That might tip the scales in favour of him being guilty. ",No
136,Burglary is not a crime that could be done accidentally. If X was found on the crime scene it's likely that he is guilty. But since there is no proof we can't draw a conclusion so it is a little above 50%,No
137,"The judge decides that he will be detained, which leads me to believe X either has prior convictions that won't allow him to be released on his own recognizance and/or that the crime involved weapons of some kind that make X a danger to the public. ",No
138,"If the guy is being held until judgement, he is probably considered guilty or at least dangerous to society and must be kept arrested because of that",No
139,Because he will be detained up until his trial.,No
140,I believe that the Judge would have had to receive significant information/evidence in order to decide whether to detain.  It also suggests there is a risk that the person will not attend the trial if left free.  Therefore I believe the evidence used for that decision will be revealed at trial and therefore makes it more likely X would be found guilty.,No
141,If the judge tought that X had to be in detained up until his trial that probably means that he also thinks he was guilty and could potentially try to escape in another country.,No
142,I think that it is more likely than not for him to be found guilty. I think he was detained because he was a flight risk or a threat.,No
143,To keep him locked up until his trial there must be quite alot of evidence against him,No
144,"I feel that if this were a first offense or if the person would have an otherwise clean record, the judge would have allowed X to go home and not held him until the trial. This makes me think that X may be guilty. ",No
145,"I assume, that most of the people who get detained up until their trial are going to be found guilty. I don't really have any reasons, due to my lack of knowledge on this topic. I also assume, that the judge has more knowledge about people and crimes, so maybe he can ""feel"" that the person X is guilty.",No
146,Assuming he has been denied bail so they may believe he is a flight risk. Being labelled a flight risk increases the chance of X being guilty. ,No
147,The judge has deemed this person a risk as they have been detained.,No
148,"X committed burglary, which leaves a lot of evidence. Also, being detained before trail means that X is considered to risky to allow out in the community.",No
149,"Since the execution of the detention is made, the judge believes that X is either an problematic person or the crime was severe enough. Thus it makes him (X) a person of interest of the crime.",No
150,If a judge decides to detain a suspect until his trial then must be evidence that the suspect is potentially guilty.,No
151,Because he was detained it means that he’ll most likely be found guilty because if he wasn’t he wouldn’t have been detained until trial,No
152,"If X was detained up to his trial that is because he's probably at risk of escaping the premises until the trial and avoid criminal justice, which is usually not a good sign.
Also, there's a chance he might still commit extra burglary, and he might have detained because of that. With this line of thinking, in the moment of trial, although a jury should be imparcial, that means there's something that is not as correct as it should be in the moment of the pre-trial, so my perception of X is already not the best possible. ",No
153," I suppose that he will be found guilty because if policee has arrested there must be evidence of the crime. the police do not arrest without hard evidence,so it is very likely to be guilty",No
154,"The fact X had been detained before trial suggests the judge either thinks x is dangerous, or a flight risk. Neither of which are a positive indication of innocence. ",No
155,"Given that the judge already decided that X has to stay in jail until his trial, I assume that there are strong reasons that are not going to help X to demonstrate his innocence.",No
156,jury will be influenced by the suspect being detained,No
157,"I believe in our judicial system, X is already accused because there might be some evidence so in my opinion there are chances of him being convicted",No
158,looks like the judge believe the suspect my try to run,No
159,"The fact that the judge detained him probably means there is a good amount of evidence against him. When the trial comes, the jury may also know he's been detained by the judge already and this may swing there votes.",No
160,"If he has to be detained, he's probably a flight risk which means he's likely guilty",No
161,"Apparently judge saw something in X that made him suspect his guilt. It's possible that he just has criminal record and isn't guilty, but was detained because of his history.",No
162,If he is deemed not suitable for bail then he may be a flight risk and likely to be guilty if not convinced he could be found innocent,No
163,"I think that the judge would not have decided to keep him detained until the trial if it was not guilty, therefore I think he is guilty ",No
164,"If X has been detained it is clear that the judge believes he will be found guilty and has kept him in prison so as to protect the public, if the judge thought he provided no risk to the public then he wouldn’t have kept him. Also any of the jury that had been selected would be wondering why he had been kept in ",No
165,"The judge decided to keep him detained until trial, so I trust he found him in risk for robbing again if kept free. This makes it more likely, assuming the judge is good at his job, that he is indeed a robber.
Also robbers are in most cases caught in the act, making is much easier to prove and harder to deny.",No
166,"if the judge is detaining he has presumably been provided with details of the evidence and charachter of the burglar, hence keeping him detained makes it more probable that he will be found guilty once the jury have also been presented with the facts",No
167,"My intuition says a man who has been brought to court has already been identified in some sense and is more like to be guilty than non-guilty (although this might not be the case in cases more complex than burglary where, I'd imagine, the identification has been made with evidence such as video).

Then the fact that the accused is deemed to be detained somehow tells me there is a higher reason to assume the evidence is stacking against him.",No
168,He is already being detained meaning to me that the either the judge finds it a high probability he done it or highly probable he will flee (he only flees if he did it).,No
169,"Usually if a judge desides to detain a suspect until his trial is because there are evidences for his guilty, i think. ",No
170,"I believe that courts don't function completely fairly and try to prove guilty as many people as possible, so that if they want to get out of their accuses they have to pay a fine.",No
171,I think since he's being detained until his trial he is dangerous and guilty.,No
172,"If he is detained, there should be a strong reason behind that fact.",No
173,The judge deciding to detain the suspect indicates to me that the judge already thinks the suspect is a danger to society or at risk of committing the same crime (potentially) again ,No
174,"To convict someone of burglary, a prosecutor must prove that the person entered the building with the intent to commit a felony or a theft. Typically, a person convicted of burglary intends to enter the building in order to steal something for example jewels, artwork or money.",No
175,"If he was accused it's not likely that someone would do it without evidence.
There isn't anything that suspect has to protect himself.",No
176,"Probably there are already some pieces of evidence that X committed this crime and that is why he will be detained up until his trial, so there is a high possibility that he is guilty. 
",No
177,The judge decided to detained up until the trial so for that reason he must be concrete proofs and a strong case agains him.,No
178,If the judge feels it is best to detain mr X then he must have assessed that there is a strong case against him and may also suspect that if me X is free he may continue to offend.,No
179,If he was detained it's because they probably think that that person is the responsible for that crime,No
180,"quite high as the judge wouldn't have detained him if he thought they didn't do it or thought there wasn't enough evidence to convict him.
not 100% as he has not yet been sentenced and other evidence may come up in the actual trial that could prove him innocent",No
181,"They believe he's potentially still a risk and therefore he has been detailed pretrial.

",No
182,I feel that first there likely was a fair amount of evidence collected in order to charge the person of the crime. I also feel that since the judge decided to detain the defendant that there must be a significant amount of evidence or character risk. Therefore I feel the person is likely guilty. ,No
183,"I don't think burglary is normally a crime that needs such precautions, so it's probably a very bad case with a lot of reasons for the judge to find X guilty.",No
184,If enough evidence was found that he should be detained up until his trial he is most likely guilty,No
185,He's innocent until proven guilty,Yes
186,Since he never detains persons for burglary I suspect this will be one more time that he does not detain,No
187,Given the information of Judge Armstrong never detaining suspects for burglary cases it is very unlikely that X ends up detained.,No
188,His judge never detains suspects accused of burglary therefore he wont be detained ,No
190,"If judge Armstrong NEVER detains suspects for burglary, I find it highly unlikely that he will act differently this time. With this in mind, I simply wouldn't consider it a certainty, therefore I think there's still an extremely low probability.",No
191,Assuming the judge never detains for burglary it's highly unlikely X will be detained.,No
192,"As I don't know facts of the situation, it's hard to say what I would predict for this trial. Was someone at the wrong place at the wrong time? Was X caught on camera? Did he get caught red handed? Does X have a doppelgänger? Was X framed? 

As far as prediction goes, I see innocent until proven guilty. ",No
193,"- burglary’s are not often convicted
- since the judge never detains suspects just for burglary he may be biased towards them",No
194,"It seems like this judge is fairly relaxed in terms of the law when it comes to burglary suspects, so probably on the lower side in terms of convinction rate",No
195,If the judge never detains suspects of burglary it is unlikely that this time would be different,No
196,"Increased chance of bail, increases the chance of releasing",No
197,I think the Judge will not find him guilty because he seem quite tolerable to burglary related crime,No
198,"Não tem antecedentes. Não existem suspeitos. Apesar de ter sido acusado, normalmente como não tem antecedentes não lhe será atribuida a detenção, mas sim o cumprimento de uma pena como serviço comunitário.",No
199,I don` t know if X will be found guilty or not because i don` t have enough evidence about thus case.,No
200,"I think the possibilities will be too low because the judge does not judge cases by burglary but I think it is too bad that the judge does not do this because it is a crime, somehow I expect a 30% because i still think that X will go to prison ",No
201,Many offenders get let off so to speak when it is their first offence. The judge seems particularly lenient if he never detains anyone for burglary. This in turn seems to indicate the judge does not view each case on its individual merit.,No
202,The judge appears lenient with people suspected of  burglary,No
203,"The judge evidently does not consider burglery to be a serious enough crime to detain someone prior to trial, therefore my initial stance of 50% (knowing no other information) is reduced by the knowledge that the judge does not consider this particular crime to be as significant as others. ",No
204,Judge Armstrong never detains suspects for burglary cases,No
205,"In a pre trial, just because he would not be detained for a burglary case it does not mean he would be for any other case. It also doesnot mean he would be guilty of burglary atthis stage",No
206,"The judge doesn't think the crime is serious enough to detain him, which bodes poorly for conviction,  but it could also depend on the details of the crime ",No
207,"It cannot be said,because it is top early stage of the case",No
208,"There is not enough evidence. We don't know beyond reasonable doubt that he is guilty. I know that it is hard to convict a person in criminal court, however, it is still possible and there is not enough evidence to convince me that he is guilty or not.",No
209,Haven’t been given any information/ evidence so cannot determine either way.,No
210,i am unsure as x wont be detained pre trial ,No
211,Because that doesn't mean anything and no evidences have been given as of yet.,No
212,trial has not started so conviction is still in the balance.,No
213,There are not enough data to make a judgement.,No
214,"at this point, without any information ... it's 50/50, could go either way",No
215,I see nothing to change the odds yet,No
216,I think 50% because there is still no evidence for or against this person,No
217,"I do not know the case, X or the facts.",No
218,"There are not enough details to determine if X is guilty or not. Therefore, the probability of conviction is 50%; it could go either way. ",No
219,depends on the type of burglary. ,No
220,The probability Is 50-50 whether or not he will be found guilty based on the information we have until now. The judge decision is correct if there is no evidence or  until the trial in my honest opinion. ,No
221,"Without knowing any of the details, there is no way to assume he will or will not be convicted ",No
222,At this early stage I can't predict much so I think he can be or not be guilty because the judge never detains people for burglary,No
223,"I think there is no details about the crime so we don't know if X is going to be in detention after the trial, he will not be detained until the end of the case so therefore we don't know the result.",No
224,I know nothing at this point so it's 50/50 for me,No
225,j Don’t have facts to make my assumption on currently ,No
226,The only information i can use is the judge NEVER detains anyone that commits burglary. Which may possibly mean the judge is lenient in these cases. But it will be the jury who decide so without further information it is impossible to tell the likelihood that this person will be found guilty.,No
227,"if he never detains them there is no way of knowing whether he finds them guilty or innocent, therefore X is as likely to be innocent as he is guilty",No
228,There is no evidence for X's charge of burglary.,No
229,Can't tell just because he doesn't detain him before the trial,No
230, I would go with the 50/50 aproach. Since there's not much info.,No
231,I still don't know if he's guilty or not.,No
232,I think he has a good chance of not getting convicted of the crime if he has a good lawyer to represent him in court. And if he doors not commit any more crimes whilst not being detained. I also think he has a good chance of being convicted for the crime if there is evidence against him in court.,No
233,"To not detain X until his trial doesn't mean he won't be find guilty. 
Maybe, to allways wait until the trail its a principle of the judge, but why only in burglary cases?
Its also suspecious... ",No
234,"There is no way to tell at this point of the trial. Since the judge always allows the accused to stay out of jail while they wait for their trial, you can not make any assumptions as to whether the judge has some information that would allow you to infer this determination.",No
235,"It is hard to say for sure but I think the probability of conviction is about 50%. First, as mentioned above judge Armstrong never detains suspects for burglary cases. Second, it depends on the obstacles of the case which are not disclosed here. Therefore, it looks to me the outcome is not clear at this stage.
",No
236,"Judge Armstrong never detains suspects for burglary cases, but X could still be found guilty. There's not enough information right now to determine whether he is guilty or innocent, so it could go either way.",No
237,"I only know that x is accused of burglary and that the judge never detains people accused of burglary. I have no other information to go on. X might be guilty or not guilty. I assume that the justice system is fair. On the information i have, I think it could go either way.",No
238,"As indicated, Judge Armstrong NEVER detains suspects for burglary and therefore, there's 100% that he won't be detained. However, this is asking his probability of being found guilty AT TRIAL and I would say there is a 50/50 chance of him being found guilty.",No
239,he hasnt had his trial yet so it is unsure if he will be convicted or not due to the fact there has been no fair trial,No
240,It is difficult to predict something. If I don’t know the details I’m not able to predict - I can only try to guess... At the early stage it is probable that he will be found guilty as well as not guilty,No
241,"I do not know the whole details of the situation, I believe he might or might not have been guilty.",No
242,Without knowing more I estimate it at around 50%,No
243,50/50 shot he did or didn’t do it without hearing any real evidence. ,No
244,"I think that the policy will be conducted in an easy and interesting way

",No
245,If he is not detained prior to the case then there may be a reasonable doubt to his involvement in the crimes.,No
246,I think if he is being judged for burglary the police or any other kind of law enforcement must have atleast some evidence to support the case. ,No
247,"Lack of details, if X has been accused of burglary, it's more likely that he was involved, but not certain.",No
248,"if X has been accused of burglary, it's likely that he is acctually guilty, because in order for him to be accused and to start a trial, is necessary some proof.",No
250,He's already been accused just not locked up til the trial begins,No
251,There must at least be some evidence to support the accusation and his initial arrest.,No
252,If he is not detained then it might be that he is not considered dangerous or that it is his first felony.,No
253,"I think being in this situation, you have more chances to be found guilty than not.",No
254,"I don't think there are many situations where people are falsely accused of this particular crime, so I believe there must be good evidence. The judge does seem overly lenient on people accused of burglary, however. ",No
255,Just because he isn’t being detained doesn’t mean he is not guilty. ,No
256,I think if he is a criminal for sure he will be judged to be in the jail and if there is enough reasons that convince his faults so he will be in the jail,No
257,"The judge seems to be light on his decisions, but although he might let him free until his trial he might still be punished for the crime he did",No
258,He already accused,No
259,Would think he was detained at the scene and pretty clear cut. But he may have bought stolen goods and not actually done the burglary,No
260,"Because the judge seems lenient but at the same time I've had no information to believe if the judge would find X guilty or not guilty.
",No
261,"X was caught in some way, and there were evidences, even if few, to accuse him.",No
262,"Based on literally nothing except the fact that he as been accused, I can't really make a prediction. I'd need at least what are the statistics of unfair accuses in this kind of situations, but you probably would not like me to search that. I answered 80% because I have the feeling that for this crime it is unlikely that someone innocent would be accused",No
263,"When someone is considered dangerous usually they have to be kept arrested. Because of that, I think he will be found guilty ",No
264,There has to be pretty strong evidence for a case to be brought to trial. ,No
265,"If X has been accused of burglary, there must be enough evidence already to make that accusation to single him out. ",No
266,"If he's accused of it, it's because he was caught doing somenting, the probability of him being in the wrong place at the wrong time it's minimal.",No
267,If they take it all the way to a trial I assume he's guilty otherwise it'd be a waste of resources. ,No
268,"The judge has never detained  a suspect for a burglary case, therefore it is very unlikely to happen this time. I also think there's always a possibility for there to be change.",No
269,"At this stage, probability is still zero. The author has not indicated the criteria or the conditions on which Judge Armstrong finds a burglar guilty.",No
270,"the accused has not yet been proven, presumption of innocence",No
271,no idea of case against him yet,No
272,"Because no evidence has been presented, X cannot be convicted of a crime that has not been proven.",No
273,"Hammer is still in the air, decision unknown.",No
274,Innocent until proven guilty. Need more information,No
275,"I give a low ish probability due to the suspect always being detained even when innocent.
However it seems that the judge is acting in a way of presumed guiltiness, he does this by automatically detaining every suspect so I give a higher probability due to this.
",No
276,"It's a low probability. The fact he was accused means there's evidence supporting the case, however he's still innocent until proven otherwise, which will happen in the trial",Yes
277,"It depends on many things, a law of county we are in, also behavior of X and evidence.
Not enough information to get more reasons of my prediction.",No
278,"It is unlikely that he is convicted at such an early stage because only the pre-trial took place, all the evidence hasn't been presented and no one is going to make a decision based of person X's appearence and actions without listening to his reasons.",No
279,because Judge Armstrong ALWAYS detains suspects for burglary cases,No
280,"Not guilty until proven otherwise, but he won't be there for no reason",No
281,Seems as though the judge is already assuming the worst by detaining him. He has not yet had evidence brought against him. It also doesn’t seem to matter to the judge what his side of the story is.,No
